input_text,target_text,t5,marian,mbart
Changing Lives _BAR_ Changing Society _BAR_ How It Works _BAR_ Technology Drives Change Home _BAR_ Concepts _BAR_ Teachers _BAR_ Search _BAR_ Overview _BAR_ Credits _BAR_ HHCC Web _BAR_ Reference _BAR_ Feedback Virtual Museum of Canada Home Page,"Il a transformé notre vie _BAR_ Il a transformé la société _BAR_ Son fonctionnement _BAR_ La technologie, moteur du changement Accueil _BAR_ Concepts _BAR_ Enseignants _BAR_ Recherche _BAR_ Aperçu _BAR_ Collaborateurs _BAR_ Web HHCC _BAR_ Ressources _BAR_ Commentaires Musée virtuel du Canada",Changing Lives _BAR_ Changing Society _BAR_ How It Works _BAR_ Technology Drives Change Home _BAR_ Concepts _BAR_ Teachers _BAR_ Search _BAR_ Overview _BAR_ Credits _BAR_ HHCC Web _BAR_ Reference _BAR_ Feedback Virtual Museum of Canada Home Page,Changement de vie _BAR_ Changement de société _BAR_ Comment fonctionne _BAR_ Changement de maison des disques technologiques _BAR_ Concepts _BAR_ Enseignants _BAR_ Recherche _BAR_ Vue d'ensemble _BAR_ Crédits _BAR_ HHCC Web _BAR_ Référence _BAR_ Rétroactions Musée virtuel du Canada Page d'accueil,Changing Lives _BAR_ Changing Society _BAR_ How It Works _BAR_ Technology Drives Change Home _BAR_ Concepts _BAR_ Teachers _BAR_ Search _BAR_ Overview _BAR_ Credits _BAR_ HHCC Web _BAR_ Reference _BAR_ Feedback Page d'accueil du Musée virtuel du Canada
Site map,Plan du site,Plan du site,Carte du site,Carte du site
Feedback,Rétroaction,Commentaires,Rétroactions,Rétroaction
Credits,Crédits,Crédits,Crédits,Crédits
Français,English,Français,English,English (en anglais seulement)
What is light ?,Qu'est-ce que la lumière?,Qu'est-ce que la lumière?,Qu'est-ce que la lumière?,Qu'est-ce que la lumière?
The white light spectrum Codes in the light The electromagnetic spectrum Emission spectra Absorption spectra Light-years Light pollution,La découverte du spectre de la lumière blanche Des codes dans la lumière Le spectre électromagnétique Les spectres d'émission Les spectres d'absorption Les années-lumière La pollution lumineuse,Le spectre lumineux blanc Codes de la lumière Le spectre électromagnétique d'émissions Le spectre d'absorption Le spectre de l'éclairage - années lumineuses Pollution légère,Le spectre lumineux blanc Codes dans la lumière Le spectre électromagnétique spectre d'émission spectre d'absorption spectre d'années lumineuses Pollution lumineuse,Spectre de la lumière blanche Codes dans la lumière Spectre électromagnétique Spectre d'émission Spectre d'absorption années lumineuses Pollution lumineuse
The sky of the first inhabitants A contemporary vison of the Universe Astronomy for everyone,Le ciel des premiers habitants La vision contemporaine de l'Univers L'astronomie pour tous,Le ciel des premiers habitants Vison contemporain de l'Univers Astronomie pour tous,Le ciel des premiers habitants Un vison contemporain de l'astronomie universelle pour tout le monde,Le ciel des premiers habitants Une vitrine contemporaine de l'univers Astronomie pour tous
Cartoon,Bande dessinée,Caricature,Cartoon,La caricature
Links,Liens,Liens,Liens,Liens
Glossary,Glossaire,Glossaire,Glossaire,Glossaire
Observatories,Observatoires,Observatoires,Observatoires,Observatoires
Astronomers Introduction Introduction video What is Astronomy?,Astronomes Introduction Vidéo d'introduction Qu'est-ce que l'astronomie?,Astronomes Introduction Vidéo Introduction Qu'est-ce que l' Astronomie?,Astronomes Introduction Introduction vidéo Qu'est-ce que l'astronomie?,Astronomes Introduction Introduction vidéo Qu'est-ce que l'astronomie?
"Often considered the oldest science, it was born of our amazement at the sky and our need to question Astronomy is the science of space beyond Earth's atmosphere.","Souvent considérée comme la plus ancienne des sciences, elle découle de notre étonnement et de nos questionnements envers le ciel L'astronomie est la science qui étudie l'Univers au-delà de l'atmosphère terrestre.","Souvent considérée comme la plus ancienne science, elle a été née de notre étourdissement par le ciel et notre nécessité de remettre en question l'astronomie est la science de l'espace au-delà de l'atmosphère de la Terre.","Souvent considéré comme la plus ancienne science, elle est née de notre étonnante sur le ciel et notre nécessité de poser des questions sur l'astronomie est la science de l'espace au-delà de l'atmosphère terrestre.","Souvent considérée comme la science la plus ancienne, elle est née de notre étonnement dans le ciel et de notre besoin de remettre en question l'astronomie est la science de l'espace au-delà de l'atmosphère terrestre."
